flag,esi,pct_flag1,outcome_rate_flag1,outcome_rate_flag0
tachycardia_flag,3,24.99,15.1,12.95
tachycardia_flag,4,28.35,2.57,2.45
tachycardia_flag,5,26.79,2.29,3.96
tachypnea_flag,3,13.91,16.18,13.06
tachypnea_flag,4,18.32,3.11,2.35
tachypnea_flag,5,21.41,3.77,3.45
hypotension_flag,3,0.64,26.5,13.41
hypotension_flag,4,0.71,4.17,2.48
hypotension_flag,5,1.61,2.0,3.54
hypoxemia_flag,3,4.59,31.53,12.62
hypoxemia_flag,4,2.43,8.96,2.33
hypoxemia_flag,5,4.55,19.86,2.74
fever_flag,3,3.56,16.7,13.37
fever_flag,4,4.24,2.92,2.47
fever_flag,5,2.58,3.75,3.51
bp_missing_flag,3,6.61,8.07,13.87
bp_missing_flag,4,14.63,1.22,2.7
bp_missing_flag,5,18.44,0.7,4.15
any_vital_missing_flag,3,13.69,12.03,13.72
any_vital_missing_flag,4,21.53,1.75,2.69
any_vital_missing_flag,5,28.08,4.13,3.27
