esi,rfv1,n,pct,outcome_rate
3,15451,3364,10.69,15.1
3,10501,1581,5.03,15.62
3,10100,1091,3.47,10.17
3,12100,1025,3.26,6.05
3,14150,986,3.13,29.31
3,14400,921,2.93,9.23
3,15300,777,2.47,12.74
3,12250,683,2.17,13.03
3,15250,674,2.14,14.54
3,10552,669,2.13,8.52
3,19051,620,1.97,11.29
3,15452,493,1.57,11.76
3,55050,477,1.52,6.29
3,19201,452,1.44,12.61
3,58100,426,1.35,15.49
4,10100,1147,5.68,2.18
4,14400,1100,5.45,1.09
4,19051,632,3.13,2.06
4,14551,602,2.98,0.5
4,18600,467,2.31,0.64
4,15451,461,2.28,9.11
4,13551,455,2.25,0.44
4,19251,445,2.2,0.9
4,12100,443,2.2,0.68
4,19351,412,2.04,1.46
4,55050,392,1.94,1.79
4,52250,388,1.92,0.0
4,15300,370,1.83,2.97
4,19201,360,1.78,3.06
4,19101,351,1.74,1.14
5,18600,246,7.93,0.0
5,13551,140,4.51,0.0
5,10100,133,4.29,0.75
5,14400,116,3.74,0.0
5,45550,112,3.61,0.0
5,15001,111,3.58,0.0
5,41150,84,2.71,0.0
5,14551,61,1.97,0.0
5,19051,61,1.97,0.0
5,57550,57,1.84,0.0
5,55050,47,1.52,4.26
5,12100,47,1.52,0.0
5,19601,42,1.35,4.76
5,19351,41,1.32,2.44
5,15451,41,1.32,14.63
