esi,threshold_pct,ppv,ppv_lo,ppv_hi,enrichment_lo,enrichment_hi,recall_lo,recall_hi,enrichment,recall
3,5,0.4978,0.4723,0.5226,3.519,3.858,0.176,0.193,3.69,0.184
3,10,0.4196,0.402,0.4369,3.002,3.231,0.3,0.323,3.11,0.311
3,15,0.3717,0.3553,0.3857,2.666,2.836,0.4,0.426,2.755,0.413
3,20,0.3322,0.3201,0.3444,2.397,2.532,0.479,0.506,2.462,0.492
4,5,0.1436,0.1207,0.1652,5.02,6.568,0.251,0.329,5.772,0.289
4,10,0.0981,0.0832,0.1113,3.478,4.358,0.348,0.436,3.943,0.394
4,15,0.0783,0.0687,0.0879,2.87,3.435,0.431,0.515,3.147,0.472
4,20,0.0654,0.0577,0.0726,2.415,2.849,0.483,0.57,2.629,0.526
5,5,0.1603,0.1083,0.2308,3.229,6.132,0.163,0.31,4.561,0.229
5,10,0.1511,0.1154,0.1929,3.514,5.229,0.355,0.527,4.301,0.431
5,15,0.1159,0.088,0.1459,2.726,3.938,0.41,0.593,3.298,0.495
5,20,0.1031,0.0789,0.1256,2.425,3.33,0.486,0.667,2.933,0.587
