esi,threshold_pct,n_alerted,n_outcomes_captured,n_outcomes_total,alert_burden_pct,ppv,base_rate,enrichment,recall,score_cutoff
3,3,944,545,4244,3.0,0.5773,0.1349,4.28,0.128,0.8174
3,5,1573,783,4244,5.0,0.4978,0.1349,3.69,0.184,0.7786
3,10,3146,1320,4244,10.0,0.4196,0.1349,3.11,0.311,0.6991
3,15,4719,1754,4244,15.0,0.3717,0.1349,2.755,0.413,0.6305
3,20,6292,2090,4244,20.0,0.3322,0.1349,2.462,0.492,0.5717
3,25,7865,2384,4244,25.0,0.3031,0.1349,2.247,0.562,0.5206
3,30,9438,2630,4244,30.0,0.2787,0.1349,2.066,0.62,0.4742
4,3,606,104,502,3.0,0.1716,0.0249,6.9,0.207,0.6381
4,5,1010,145,502,5.0,0.1436,0.0249,5.772,0.289,0.5531
4,10,2019,198,502,10.0,0.0981,0.0249,3.943,0.394,0.4193
4,15,3028,237,502,15.0,0.0783,0.0249,3.147,0.472,0.3403
4,20,4037,264,502,20.0,0.0654,0.0249,2.629,0.526,0.2832
4,25,5046,296,502,25.0,0.0587,0.0249,2.358,0.59,0.2442
4,30,6055,323,502,30.0,0.0533,0.0249,2.145,0.643,0.2124
5,3,94,20,109,3.0,0.2128,0.0351,6.055,0.183,0.2871
5,5,156,25,109,5.0,0.1603,0.0351,4.561,0.229,0.2018
5,10,311,47,109,10.0,0.1511,0.0351,4.301,0.431,0.1242
5,15,466,54,109,15.0,0.1159,0.0351,3.298,0.495,0.0898
5,20,621,64,109,20.0,0.1031,0.0351,2.933,0.587,0.0608
5,25,776,71,109,25.0,0.0915,0.0351,2.604,0.651,0.0482
5,30,934,75,109,30.1,0.0803,0.0351,2.285,0.688,0.0394
